SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,SUPERFORGE,Super Forgings & Steels , ,19/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SALORAINTL,Salora International Ltd., ,11/09/2015,18/09/2015,09/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SONASTEER,Sona Steering Sys Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RE 0.65 PER SHARE
EQ,TATAMETALI,Tata Metaliks Ltd, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KREBSBIO,Krebs Biochemicals Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,LIBERTSHOE,Liberty Shoes Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RS1.50 PER SHARE 
EQ,HOTELEELA,Hotel Leela Venture Ltd., ,19/09/2015,22/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,UNITECH,Unitech Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,WEIZMANIND,Weizmann Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RE 0.50 PER SH   
EQ,RUCHISOYA,Ruchi Soya Inds Ltd., ,21/09/2015,23/09/2015,16/09/2015, , ,DIV-RE 0.16 PER SHARE    
EQ,AEGISCHEM,Aegis Logistics Ltd,18/09/2015, , ,16/09/2015, , ,FV SPLT FRM RS 10 TO RS 1
EQ,BHUSANSTL,Bhushan Steel Limited, ,14/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NEPCAGRO,NEPC Agro Foods Ltd, ,21/09/2015,23/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RANASUG,Rana Sugars Ltd, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MOTOGENFIN,Motor & Gen Fin Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IFCI,IFCI Ltd., ,15/09/2015,21/09/2015,11/09/2015, , ,AGM/DIV RE 0.50 PER SHARE
EQ,ITI,ITI Ltd., ,15/09/2015,23/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OUDHSUG,The Oudh Sugar Mills Ltd, ,07/09/2015,14/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HINDOILEXP,Hind. Oil Exploration , ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
