SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,COX&KINGS,Cox & Kings Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,AHLUCONT,Ahluwalia Cont Ind Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BANG,Bang Overseas Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IRB,IRB Infrastructure Develo, ,19/09/2015,23/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JAYNECOIND,Jayaswal Neco Industr Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NUTEK,Nu Tek India Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AJMERA,Ajmera Realty & Inf I Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RS 1.70 PER SHARE
EQ,CAREERP,Career Point Limited, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TATACOMM,Tata Communications Ltd., ,26/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 5.50 PER SHARE
EQ,AMDIND,AMD Industries Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,AGM/DIV-RE 0.90 PER SHARE
EQ,OFSS,Oracle Fin Serv Soft Ltd., ,07/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RS 180 PER SHARE 
EQ,GOLDENTOBC,Golden Tobacco Limited, ,21/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,20MICRONS,20 Microns Limited, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BAYERCROP,Bayer Cropscience Ltd, ,05/09/2015,15/09/2015,03/09/2015, , ,AGM/DIV-RS 17 PER SHARE  
EQ,GOLDINFRA,Goldstone Infratech Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NMDC,NMDC Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 1.30 PER SHARE
EQ,SHALPAINTS,Shalimar Paints Ltd, ,23/09/2015,28/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NAHARCAP,Nahar Capital and Financi, ,12/09/2015,22/09/2015,10/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,INDBANK,Indbank Merchant Banking, ,20/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MEP,MEP Infra. Developers Ltd, ,19/09/2015,23/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RAJOIL,Raj Oil Mills Limited, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SOTL,Savita Oil Technologies L, ,05/09/2015,12/09/2015,03/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,PDUMJEIND,Pudumjee Industries Ltd, ,15/09/2015,21/09/2015,11/09/2015, , ,Annual General Meeting   
EQ,BALLARPUR,Ballarpur Industries Limi, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,ALKALI,Alkali Metals Limited, ,14/09/2015,19/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,REIAGROLTD,Rei Agro Limited, ,28/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NHPC,NHPC Ltd, ,12/09/2015,23/09/2015,10/09/2015, , ,AGM/DIV-RE 0.40 PER SHARE
EQ,KWALITY,Kwality Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,MMTC,MMTC Limited, ,19/09/2015,29/09/2015,16/09/2015, , ,AGM/DIV-RE 0.25 PER SHARE
EQ,RECLTD,Rural Electrification Cor, ,11/09/2015,16/09/2015,09/09/2015, , ,AGM/DIV-RS 2.70 PER SHARE
EQ,JIKIND,JIK Industries Limited, ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DELTACORP,Delta Corp Limited, ,19/09/2015,25/09/2015,16/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,OIL,Oil India Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RS 10 PER SHARE  
EQ,TRF,TRF Limited, ,15/09/2015,18/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SITASHREE,Sita Shree Food Products, ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GISOLUTION,GI Engineering Solutions, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JPPOWER, Jaiprakash Power Ven. Lt, ,05/09/2015,12/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DPSCLTD,DPSC Limited, ,05/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RE 0.05 PER SHARE
EQ,TWL,Titagarh Wagons Limited, ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV-RE 0.80 PER SHARE
EQ,ABCIL,Aditya Birla Chem (I) Ltd, ,18/09/2015,24/09/2015,15/09/2015, , ,DIV-RS 5 PER SHARE       
EQ,INFINITE,Infinite Computer Sol Ltd, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DIGJAM,Digjam Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,Annual General Meeting   
EQ,UBHOLDINGS,United Breweries (Holding, ,25/09/2015,28/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,STOREONE,Store One Retail Ind Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SURANAT&P,Surana Telecom and Pow Lt, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.12 PER SHARE
EQ,VASCONEQ,Vascon Engineers Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SYNCOM,Syncom Healthcare Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANIKINDS,Anik Industries Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BGLOBAL,Bharatiya Global Info Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SOLARINDS,Solar Industries (I) Ltd, ,31/08/2015,11/09/2015,27/08/2015, , ,AGM/DIV-RS 9 PER SHARE   
EQ,HINDNATGLS,Hind Natl Glass & Ind Ltd, ,21/09/2015,27/09/2015,16/09/2015, , ,Annual General Meeting   
EQ,AMRUTANJAN,Amrutajan Health Ltd, ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV-RS 2.40 PER SHARE
EQ,EMMBI,Emmbi Industries Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RE 0.30 PER SHARE
EQ,DBREALTY,D B Realty Limited, ,21/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SURANACORP,Surana Corporation Limite, ,10/09/2015,22/09/2015,08/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GOKUL,Gokul Refoils and Solvent, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/SCHEME OF ARRNGMT    
EQ,ALMONDZ,Almondz Global Securities, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,REISIXTEN,REI Six Ten Retail Limite, ,28/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ARSSINFRA,ARSS Infra Proj. Ltd, ,15/09/2015,18/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GEECEE,GeeCee Ventures Limited, ,07/09/2015,15/09/2015,03/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,SMPL,Sujana Metal Products Ltd, ,29/09/2015,29/09/2015,24/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPECTACLE,Spectacle Venture Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUNDARAM,Sundaram Multi Pap Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MANDHANA,Mandhana Indus. Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,SJVN,SJVN Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RE 0.42 PER SHARE
EQ,GALLISPAT,Gallantt Ispat Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,CANTABIL,Cantabil Retail Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,Annual General Meeting   
EQ,BEDMUTHA,Bedmutha Indust Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OMKARCHEM,Omkar Spl Chem Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,RAINBOWPAP,Rainbow Papers Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GEINDSYS,GEI Ind Systems Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SKSMICRO,SKS Microfinance Ltd, ,16/09/2015,23/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IITL,Industrial Inv Trust Ltd, ,09/09/2015,16/09/2015,07/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,CEBBCO,Commercial Eng & Co. Ltd, ,08/09/2015,11/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PIONDIST,Pioneer Dist Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,FARMAXIND,Farmax India Ltd, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GAL,Gyscoal Alloys Ltd, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ASIANHOTNR,Asian Hotels (North) Ltd, ,15/09/2015,21/09/2015,11/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANGIND,ANG Industries Limited, ,16/09/2015,21/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,UGARSUGAR,The Ugar Sugar Works Ltd, ,18/09/2015,25/09/2015,15/09/2015, , ,Annual General Meeting   
EQ,COALINDIA,Coal India Ltd, ,14/09/2015,23/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SGJHL,SH GANESH JEWEL HOUS(I)LT, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PRAKASHSTL,Prakash Steelage Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RE 0.50 PER SHARE
EQ,GOENKA,Goenka Diamond&Jewels Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PARABDRUGS,Parabolic Drugs Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CURATECH,Cura Technologies Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JAMNAAUTO,Jamna Auto Ind Ltd, ,25/09/2015,28/09/2015,23/09/2015, , ,AGM/DIV-RS.2.20 PER SHARE
EQ,SUMEETINDS,Sumeet Ind Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TECHNOFAB,Technofab Eng Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TI,Tilaknagar Industries Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ADFFOODS,ADF Foods Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,KTIL,Kesar Ter & Infra Ltd, ,16/09/2015,23/09/2015,14/09/2015, , ,DIV-RS 3.50 PER SHARE    
EQ,RKDL,Ravi Kumar Distilleries, ,24/09/2015,28/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BFINVEST,BF Investment Limited, ,19/09/2015,19/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BLISSGVS,Bliss GVS Pharma Ltd, ,10/09/2015,16/09/2015,08/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,PARAPRINT,Paramount Printpack Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,USHERAGRO,Usher Agro Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,INDOSOLAR,Indosolar Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KILITCH,Kilitch Drugs India Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ORISSAMINE,Orissa Min Dev Co Ltd, ,16/09/2015,22/09/2015,14/09/2015, , ,AGM/DIV-RS 4.43 PER SHARE
EQ,NITESHEST,Nitesh Estates Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DIAPOWER,Diamond Power Infra Ltd, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,IL&FSENGG,IL&FS Eng and Cons Co Ltd, ,16/09/2015,19/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANSALAPI,Ansal Properties & Ind Lt, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPMLINFRA,SPML Infra Limited, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TARAPUR,Tarapur Transformers Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RESPONIND,Responsive Industries Ltd, ,18/09/2015,22/09/2015,15/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,PFS,PTC India Fin Serv Ltd, ,19/09/2015,24/09/2015,16/09/2015, , ,AGM/DIV RE 1/- PER SHARE 
EQ,LOVABLE,Lovable Lingerie Ltd, ,23/09/2015,26/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MICROSEC,Microsec Fin Serv Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CMAHENDRA,C.Mahendra Exports Ltd, ,23/09/2015,25/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KIRIINDUS,Kiri Industries Limited, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DHUNINV,Dhunseri Investments Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,RAMKY,Ramky Infra Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PRADIP,Pradip Overseas Ltd, ,16/09/2015,30/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,XLENERGY,XL Energy Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KSERASERA,KSS Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TEXRAIL,Texmaco Rail & Eng. Ltd., ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV RE 0.25 PER SHARE
EQ,SUMMITSEC,Summit Securities Ltd, ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SPYL,Shekhawati Poly-Yarn Ltd., ,16/09/2015,22/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BILENERGY,Bil Energy Systems Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MAANALU,Maan Aluminium Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INDTERRAIN,Ind Terrain Fashions Ltd, ,18/09/2015,25/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ESL,Electrosteel Steels Ltd, ,05/09/2015,11/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PENIND,Pennar Industries Ltd, ,23/09/2015,24/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HFCL,Himachal Fut Com Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SUDAR,Sudar Industries Limited, ,23/09/2015,23/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MAITHANALL,Maithan Alloys Ltd, ,04/09/2015,11/09/2015,02/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,KANANIIND,Kanani Industries Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INVENTURE,Inventure Gro & Sec Ltd, ,18/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RASOYPR,Rasoya Proteins Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SEZAL,Sezal Glass Limited, ,25/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CIMMCO,Cimmco Limited, ,19/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SERVALL,Servalakshmi Paper Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,AMTL,Adv Metering Tech Ltd, ,26/09/2015,30/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,COMPUSOFT,Compucom Software Ltd, ,22/09/2015,24/09/2015,18/09/2015, , ,AGM/DIV-RE 0.10 PER SHARE
EQ,TREEHOUSE,Tree House Edu Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,DIV-RS 2 PER SHARE       
EQ,FMNL,Future Mkt Networks Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RELAXO,Relaxo Foot Ltd., ,18/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV RE 0.50 PER SHARE
EQ,OMMETALS,OM Metals Infrapro Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RE 0.20 PER SHARE
EQ,STEL,Sentinel Tea and Exp Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PROVOGE,Provogue (India) Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,WINSOME,Winsome Yarns Limited, ,09/09/2015,11/09/2015,07/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RUPA,Rupa & Company Ltd, ,09/09/2015,15/09/2015,07/09/2015, , ,AGM/DIV-RS 2.75 PER SHARE
EQ,TDPOWERSYS,TD Power Systems Ltd., ,17/09/2015,23/09/2015,15/09/2015, , ,AGM/DIV-RS 2.645 PER SH  
EQ,JISLDVREQS,Jain DVR Equity Shares, ,14/09/2015,30/09/2015,10/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,SANGHVIFOR,Sanghvi For & Eng Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,GLOBOFFS,Global Offshore Serv Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,Annual General Meeting   
EQ,METKORE,Metkore Alloys & Ind Ltd, ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HGS,Hinduja Global Sols Ltd, ,25/09/2015,29/09/2015,23/09/2015, , ,AGM/DIV-RS 5 PER SHARE   
EQ,V2RETAIL,V2 Retail Limited, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ELGIRUBCO,Elgi Rubber Co. Ltd, ,21/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.21 PER SHARE
EQ,PRAKASHCON,Prakash Constrowell Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ORIENTBELL,Orient Bell Limited, ,26/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,NAGAROIL,Nagarjuna Oil Refinery, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TV18BRDCST,TV18 Broadcast Limited, ,21/09/2015,24/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ASAHISONG,Asahi Songwon Color Ltd, ,25/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV-RS 3.50 PER SHARE
EQ,FILATEX,Filatex India Ltd, ,19/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RUSHIL,Rushil Decor Limited, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,COUNCODOS,Country Condo's Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ACCELYA,Kale Consultants Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV RS 25/- PER SHARE
EQ,ESTER,Ester Industries Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DQE,DQ Entertainment Int Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RMMIL,Resurgere Mines & Mineral, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ONELIFECAP,Onelife Cap Advisors Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,INDOTHAI,Indo Thai Sec Ltd, ,22/09/2015,25/09/2015,18/09/2015, , ,AGM/DIV-RE 1 PER SHARE   
EQ,TEXINFRA,Texmaco Infra & Holdg Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,AGM/DIV RE 0.15 PER SHARE
EQ,HEXATRADEX,Hexa Tradex Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,CHROMATIC,Chromatic India Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SWANENERGY,Swan Energy Limited, ,05/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RE 0.15 PER SHARE
EQ,ESSARSHPNG,Essar Shipping Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DSSL,Dynacons Sys & Sol. Ltd., ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,PANAMAPET,Panama Petrochem Ltd, ,10/09/2015,14/09/2015,08/09/2015, , ,AGM/DIV-RS 2/- PER SHARE 
EQ,SEINV,S.E. Investments Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV RE 1/- PER SHARE 
EQ,SHAKTIPUMP,Shakti Pumps (I) Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,PGEL,PG Electroplast Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VIKASGLOB,Vikas GlobalOne Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RE 0.05 PER SHARE
EQ,IBWSL,Indiabulls Wholesale Ser, ,21/09/2015,28/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,THOMASCOTT,Thomas Scott (India) Ltd, ,24/09/2015,29/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NBCC,National Buildings Ltd, ,14/09/2015,16/09/2015,10/09/2015, , ,AGM/DIV-RS 5.50 PER SHARE
EQ,FLEXITUFF,Flexituff Inter Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV-RE 1/- PER SHARE 
EQ,GSS,GSS Infotech Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EON,Eon Electric Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HUBTOWN,Ackruti City Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,Annual General Meeting   
EQ,BROOKS,Brooks Lab Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,WEIZFOREX,Weizmann Forex Limited, ,08/09/2015,14/09/2015,04/09/2015, , ,AGM/DIV-RS 7.50 PER SHARE
EQ,PGIL,House of Pearl Fashions L, ,15/09/2015,22/09/2015,11/09/2015, , ,AGM/DIV-RS 2.25 PER SHARE
EQ,MUTHOOTFIN,Muthoot Finance Limited, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,SYMPHONY,Symphony Limited, ,17/10/2015,27/10/2015,15/10/2015, , ,AGM/DIV-RS 10 PER SHARE  
EQ,PIIND,PI Industries Ltd, ,10/09/2015,15/09/2015,08/09/2015, , ,AGM/DIV-RS 1.30 PER SHARE
EQ,VASWANI,Vaswani Ind Ltd, ,07/09/2015,14/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ORIENTREF,Orient Refractories Ltd, ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RE 1.40 PER SHARE
EQ,WINDMACHIN,Windsor Machines Limited, ,25/09/2015,29/09/2015,23/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ESSARPORTS,Essar Ports Limited, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DBSTOCKBRO,DB (Int) Stock Brokers, ,10/09/2015,14/09/2015,08/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MCX,Multi Commodity Exchange, ,19/09/2015,29/09/2015,16/09/2015, , ,AGM/DIV-RS 10 PER SHARE  
EQ,TGBHOTELS,Bhagwati Banquets and Hot, ,12/09/2015,23/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VMART,Vmart Retail Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,INTEGRA,Integra Garment & Tex Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,VIMALOIL,Vimal O & F Ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
EQ,CARERATING,CARE Limited, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 8 PER SHARE   
EQ,NAKODA,Nakoda Limited, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ANKITMETAL,Ankit Met & Pow Ltd, ,22/09/2015,29/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
